--> Starting Seed 20 on a separate CPU core...
Seed: 20 | Step: 21 | Episode Return: 24.85 | Length: 22
Seed: 20 | Step: 33 | Episode Return: 10.77 | Length: 12
Seed: 20 | Step: 54 | Episode Return: 27.72 | Length: 21
Seed: 20 | Step: 68 | Episode Return: 12.72 | Length: 14
Seed: 20 | Step: 92 | Episode Return: 28.44 | Length: 24
Seed: 20 | Step: 104 | Episode Return: 8.00 | Length: 12
Seed: 20 | Step: 117 | Episode Return: 8.28 | Length: 13
Seed: 20 | Step: 168 | Episode Return: 49.39 | Length: 51
Seed: 20 | Step: 195 | Episode Return: 22.78 | Length: 27
Seed: 20 | Step: 220 | Episode Return: 15.93 | Length: 25
Seed: 20 | Step: 237 | Episode Return: 15.31 | Length: 17
Seed: 20 | Step: 262 | Episode Return: 10.31 | Length: 25
Seed: 20 | Step: 277 | Episode Return: 11.13 | Length: 15
Seed: 20 | Step: 299 | Episode Return: 20.68 | Length: 22
Seed: 20 | Step: 312 | Episode Return: 9.43 | Length: 13
Seed: 20 | Step: 323 | Episode Return: 7.22 | Length: 11
Seed: 20 | Step: 337 | Episode Return: 12.57 | Length: 14
Seed: 20 | Step: 352 | Episode Return: 11.17 | Length: 15
Seed: 20 | Step: 368 | Episode Return: 8.91 | Length: 16
Seed: 20 | Step: 407 | Episode Return: 33.22 | Length: 39
Seed: 20 | Step: 434 | Episode Return: 15.37 | Length: 27
Seed: 20 | Step: 451 | Episode Return: 16.60 | Length: 17
Seed: 20 | Step: 476 | Episode Return: 14.00 | Length: 25
Seed: 20 | Step: 487 | Episode Return: 9.23 | Length: 11
Seed: 20 | Step: 503 | Episode Return: 14.64 | Length: 16
Seed: 20 | Step: 519 | Episode Return: 13.84 | Length: 16
Seed: 20 | Step: 528 | Episode Return: 6.79 | Length: 9
Seed: 20 | Step: 548 | Episode Return: 10.90 | Length: 20
Seed: 20 | Step: 581 | Episode Return: 35.70 | Length: 33
Seed: 20 | Step: 597 | Episode Return: 11.38 | Length: 16
Seed: 20 | Step: 611 | Episode Return: 8.76 | Length: 14
Seed: 20 | Step: 654 | Episode Return: 21.33 | Length: 43
Seed: 20 | Step: 673 | Episode Return: 16.54 | Length: 19
Seed: 20 | Step: 687 | Episode Return: 10.29 | Length: 14
Seed: 20 | Step: 705 | Episode Return: 12.39 | Length: 18
Seed: 20 | Step: 725 | Episode Return: 16.32 | Length: 20
Seed: 20 | Step: 735 | Episode Return: 7.50 | Length: 10
Seed: 20 | Step: 745 | Episode Return: 7.77 | Length: 10
Seed: 20 | Step: 785 | Episode Return: 24.85 | Length: 40
Seed: 20 | Step: 793 | Episode Return: 5.82 | Length: 8
Seed: 20 | Step: 806 | Episode Return: 8.33 | Length: 13
Seed: 20 | Step: 819 | Episode Return: 9.84 | Length: 13
Seed: 20 | Step: 829 | Episode Return: 6.14 | Length: 10
Seed: 20 | Step: 851 | Episode Return: 8.71 | Length: 22
Seed: 20 | Step: 863 | Episode Return: 8.13 | Length: 12
Seed: 20 | Step: 894 | Episode Return: 42.28 | Length: 31
Seed: 20 | Step: 908 | Episode Return: 9.55 | Length: 14
Seed: 20 | Step: 936 | Episode Return: 26.74 | Length: 28
Seed: 20 | Step: 957 | Episode Return: 22.16 | Length: 21
Seed: 20 | Step: 978 | Episode Return: 12.44 | Length: 21
Seed: 20 | Step: 991 | Episode Return: 11.62 | Length: 13
Seed: 20 | Step: 1016 | Episode Return: 13.58 | Length: 25
Seed: 20 | Step: 1056 | Episode Return: 25.99 | Length: 40
Seed: 20 | Step: 1069 | Episode Return: 8.86 | Length: 13
Seed: 20 | Step: 1083 | Episode Return: 12.07 | Length: 14
Seed: 20 | Step: 1103 | Episode Return: 16.42 | Length: 20
Seed: 20 | Step: 1153 | Episode Return: 48.83 | Length: 50
Seed: 20 | Step: 1169 | Episode Return: 13.59 | Length: 16
Seed: 20 | Step: 1188 | Episode Return: 17.08 | Length: 19
Seed: 20 | Step: 1211 | Episode Return: 10.94 | Length: 23
Seed: 20 | Step: 1224 | Episode Return: 8.54 | Length: 13
Seed: 20 | Step: 1246 | Episode Return: 19.83 | Length: 22
Seed: 20 | Step: 1271 | Episode Return: 10.13 | Length: 25
Seed: 20 | Step: 1302 | Episode Return: 38.88 | Length: 31
Seed: 20 | Step: 1317 | Episode Return: 11.23 | Length: 15
Seed: 20 | Step: 1332 | Episode Return: 5.86 | Length: 15
Seed: 20 | Step: 1349 | Episode Return: 8.79 | Length: 17
Seed: 20 | Step: 1360 | Episode Return: 8.67 | Length: 11
Seed: 20 | Step: 1380 | Episode Return: 12.15 | Length: 20
Seed: 20 | Step: 1396 | Episode Return: 11.67 | Length: 16
Seed: 20 | Step: 1408 | Episode Return: 9.93 | Length: 12
Seed: 20 | Step: 1441 | Episode Return: 20.20 | Length: 33
Seed: 20 | Step: 1452 | Episode Return: 8.42 | Length: 11
Seed: 20 | Step: 1467 | Episode Return: 9.27 | Length: 15
Seed: 20 | Step: 1500 | Episode Return: 18.82 | Length: 33
Seed: 20 | Step: 1515 | Episode Return: 12.45 | Length: 15
Seed: 20 | Step: 1556 | Episode Return: 48.07 | Length: 41
Seed: 20 | Step: 1567 | Episode Return: 5.23 | Length: 11
Seed: 20 | Step: 1583 | Episode Return: 11.99 | Length: 16
Seed: 20 | Step: 1619 | Episode Return: 18.02 | Length: 36
Seed: 20 | Step: 1634 | Episode Return: 10.92 | Length: 15
Seed: 20 | Step: 1667 | Episode Return: 13.88 | Length: 33
Seed: 20 | Step: 1682 | Episode Return: 9.73 | Length: 15
Seed: 20 | Step: 1701 | Episode Return: 12.40 | Length: 19
Seed: 20 | Step: 1715 | Episode Return: 9.02 | Length: 14
Seed: 20 | Step: 1731 | Episode Return: 14.00 | Length: 16
Seed: 20 | Step: 1752 | Episode Return: 19.49 | Length: 21
Seed: 20 | Step: 1780 | Episode Return: 16.95 | Length: 28
Seed: 20 | Step: 1794 | Episode Return: 9.95 | Length: 14
Seed: 20 | Step: 1806 | Episode Return: 9.94 | Length: 12
