--> Starting Seed 10 on a separate CPU core...
Seed: 10 | Step: 33 | Episode Return: 3.04 | Length: 34
Seed: 10 | Step: 55 | Episode Return: 5.65 | Length: 22
Seed: 10 | Step: 78 | Episode Return: 10.15 | Length: 23
Seed: 10 | Step: 87 | Episode Return: -4.76 | Length: 9
Seed: 10 | Step: 107 | Episode Return: 2.57 | Length: 20
Seed: 10 | Step: 124 | Episode Return: 6.82 | Length: 17
Seed: 10 | Step: 134 | Episode Return: -2.75 | Length: 10
Seed: 10 | Step: 160 | Episode Return: 7.24 | Length: 26
Seed: 10 | Step: 175 | Episode Return: 3.36 | Length: 15
Seed: 10 | Step: 206 | Episode Return: 3.96 | Length: 31
Seed: 10 | Step: 224 | Episode Return: 0.87 | Length: 18
Seed: 10 | Step: 244 | Episode Return: -2.00 | Length: 20
Seed: 10 | Step: 268 | Episode Return: -2.72 | Length: 24
Seed: 10 | Step: 285 | Episode Return: 2.54 | Length: 17
Seed: 10 | Step: 306 | Episode Return: -5.16 | Length: 21
Seed: 10 | Step: 327 | Episode Return: -0.30 | Length: 21
Seed: 10 | Step: 344 | Episode Return: 7.44 | Length: 17
Seed: 10 | Step: 362 | Episode Return: -6.17 | Length: 18
Seed: 10 | Step: 399 | Episode Return: 12.28 | Length: 37
Seed: 10 | Step: 417 | Episode Return: -0.28 | Length: 18
Seed: 10 | Step: 430 | Episode Return: 2.74 | Length: 13
Seed: 10 | Step: 455 | Episode Return: 0.37 | Length: 25
Seed: 10 | Step: 496 | Episode Return: 26.67 | Length: 41
Seed: 10 | Step: 545 | Episode Return: 15.42 | Length: 49
Seed: 10 | Step: 557 | Episode Return: -0.75 | Length: 12
Seed: 10 | Step: 581 | Episode Return: 1.98 | Length: 24
Seed: 10 | Step: 600 | Episode Return: 5.62 | Length: 19
Seed: 10 | Step: 632 | Episode Return: 0.27 | Length: 32
Seed: 10 | Step: 654 | Episode Return: 6.10 | Length: 22
Seed: 10 | Step: 690 | Episode Return: -5.09 | Length: 36
Seed: 10 | Step: 756 | Episode Return: 23.48 | Length: 66
Seed: 10 | Step: 767 | Episode Return: -0.97 | Length: 11
Seed: 10 | Step: 780 | Episode Return: -2.46 | Length: 13
Seed: 10 | Step: 798 | Episode Return: -1.93 | Length: 18
Seed: 10 | Step: 815 | Episode Return: 5.97 | Length: 17
Seed: 10 | Step: 832 | Episode Return: 1.34 | Length: 17
Seed: 10 | Step: 845 | Episode Return: -6.10 | Length: 13
Seed: 10 | Step: 856 | Episode Return: -3.15 | Length: 11
Seed: 10 | Step: 876 | Episode Return: -5.32 | Length: 20
Seed: 10 | Step: 903 | Episode Return: -5.12 | Length: 27
Seed: 10 | Step: 933 | Episode Return: 3.10 | Length: 30
Seed: 10 | Step: 945 | Episode Return: -2.22 | Length: 12
Seed: 10 | Step: 967 | Episode Return: 10.09 | Length: 22
Seed: 10 | Step: 992 | Episode Return: 10.58 | Length: 25
Seed: 10 | Step: 1009 | Episode Return: -4.04 | Length: 17
Seed: 10 | Step: 1020 | Episode Return: 0.51 | Length: 11
Seed: 10 | Step: 1045 | Episode Return: -1.29 | Length: 25
Seed: 10 | Step: 1065 | Episode Return: 7.85 | Length: 20
Seed: 10 | Step: 1093 | Episode Return: -3.73 | Length: 28
Seed: 10 | Step: 1128 | Episode Return: 6.89 | Length: 35
Seed: 10 | Step: 1152 | Episode Return: 4.52 | Length: 24
Seed: 10 | Step: 1169 | Episode Return: 2.72 | Length: 17
Seed: 10 | Step: 1185 | Episode Return: 7.46 | Length: 16
Seed: 10 | Step: 1198 | Episode Return: -2.11 | Length: 13
Seed: 10 | Step: 1210 | Episode Return: 0.91 | Length: 12
Seed: 10 | Step: 1222 | Episode Return: -0.27 | Length: 12
Seed: 10 | Step: 1255 | Episode Return: 1.66 | Length: 33
Seed: 10 | Step: 1279 | Episode Return: 3.30 | Length: 24
Seed: 10 | Step: 1312 | Episode Return: 20.43 | Length: 33
Seed: 10 | Step: 1329 | Episode Return: 2.37 | Length: 17
Seed: 10 | Step: 1346 | Episode Return: -0.49 | Length: 17
Seed: 10 | Step: 1362 | Episode Return: 4.04 | Length: 16
Seed: 10 | Step: 1372 | Episode Return: -1.53 | Length: 10
Seed: 10 | Step: 1390 | Episode Return: 6.91 | Length: 18
Seed: 10 | Step: 1399 | Episode Return: -3.09 | Length: 9
Seed: 10 | Step: 1425 | Episode Return: 4.77 | Length: 26
Seed: 10 | Step: 1449 | Episode Return: 0.11 | Length: 24
Seed: 10 | Step: 1457 | Episode Return: -2.61 | Length: 8
Seed: 10 | Step: 1481 | Episode Return: 12.64 | Length: 24
Seed: 10 | Step: 1513 | Episode Return: 2.23 | Length: 32
Seed: 10 | Step: 1529 | Episode Return: -0.10 | Length: 16
Seed: 10 | Step: 1540 | Episode Return: -2.60 | Length: 11
Seed: 10 | Step: 1572 | Episode Return: 6.91 | Length: 32
Seed: 10 | Step: 1581 | Episode Return: -0.45 | Length: 9
Seed: 10 | Step: 1612 | Episode Return: 10.20 | Length: 31
