--> Starting Seed 10 on a separate CPU core...
Seed: 10 | Step: 11 | Episode Return: 3.22 | Length: 12
Seed: 10 | Step: 37 | Episode Return: 10.79 | Length: 26
Seed: 10 | Step: 66 | Episode Return: -0.09 | Length: 29
Seed: 10 | Step: 81 | Episode Return: -2.61 | Length: 15
Seed: 10 | Step: 90 | Episode Return: -0.32 | Length: 9
Seed: 10 | Step: 119 | Episode Return: 2.97 | Length: 29
Seed: 10 | Step: 151 | Episode Return: 13.18 | Length: 32
Seed: 10 | Step: 168 | Episode Return: -1.33 | Length: 17
Seed: 10 | Step: 189 | Episode Return: -1.53 | Length: 21
Seed: 10 | Step: 208 | Episode Return: -7.36 | Length: 19
Seed: 10 | Step: 221 | Episode Return: 3.11 | Length: 13
Seed: 10 | Step: 240 | Episode Return: 7.07 | Length: 19
Seed: 10 | Step: 261 | Episode Return: 5.69 | Length: 21
Seed: 10 | Step: 294 | Episode Return: 11.07 | Length: 33
Seed: 10 | Step: 310 | Episode Return: 4.14 | Length: 16
Seed: 10 | Step: 327 | Episode Return: 2.47 | Length: 17
Seed: 10 | Step: 341 | Episode Return: -0.71 | Length: 14
Seed: 10 | Step: 380 | Episode Return: 9.79 | Length: 39
Seed: 10 | Step: 398 | Episode Return: -1.32 | Length: 18
Seed: 10 | Step: 408 | Episode Return: -0.36 | Length: 10
Seed: 10 | Step: 449 | Episode Return: 0.74 | Length: 41
Seed: 10 | Step: 466 | Episode Return: 0.53 | Length: 17
Seed: 10 | Step: 504 | Episode Return: 5.68 | Length: 38
Seed: 10 | Step: 522 | Episode Return: 2.18 | Length: 18
Seed: 10 | Step: 540 | Episode Return: 6.59 | Length: 18
Seed: 10 | Step: 556 | Episode Return: 2.39 | Length: 16
Seed: 10 | Step: 570 | Episode Return: -3.30 | Length: 14
Seed: 10 | Step: 595 | Episode Return: -6.63 | Length: 25
Seed: 10 | Step: 614 | Episode Return: -4.08 | Length: 19
Seed: 10 | Step: 631 | Episode Return: 5.58 | Length: 17
