--> Starting Seed 10 on a separate CPU core...
Seed: 10 | Step: 56 | Episode Return: 90.23 | Length: 57
Seed: 10 | Step: 64 | Episode Return: 5.53 | Length: 8
Seed: 10 | Step: 82 | Episode Return: 15.45 | Length: 18
Seed: 10 | Step: 100 | Episode Return: 7.32 | Length: 18
Seed: 10 | Step: 113 | Episode Return: 10.52 | Length: 13
Seed: 10 | Step: 128 | Episode Return: 10.63 | Length: 15
Seed: 10 | Step: 143 | Episode Return: 11.48 | Length: 15
Seed: 10 | Step: 155 | Episode Return: 9.05 | Length: 12
Seed: 10 | Step: 174 | Episode Return: 17.43 | Length: 19
Seed: 10 | Step: 197 | Episode Return: 11.05 | Length: 23
Seed: 10 | Step: 229 | Episode Return: 13.13 | Length: 32
Seed: 10 | Step: 246 | Episode Return: 9.10 | Length: 17
Seed: 10 | Step: 263 | Episode Return: 10.77 | Length: 17
Seed: 10 | Step: 296 | Episode Return: 18.81 | Length: 33
Seed: 10 | Step: 305 | Episode Return: 5.82 | Length: 9
Seed: 10 | Step: 335 | Episode Return: 20.81 | Length: 30
Seed: 10 | Step: 347 | Episode Return: 7.67 | Length: 12
Seed: 10 | Step: 400 | Episode Return: 90.13 | Length: 53
Seed: 10 | Step: 412 | Episode Return: 8.04 | Length: 12
Seed: 10 | Step: 432 | Episode Return: 12.67 | Length: 20
Seed: 10 | Step: 455 | Episode Return: 17.28 | Length: 23
Seed: 10 | Step: 487 | Episode Return: 13.07 | Length: 32
Seed: 10 | Step: 501 | Episode Return: 8.61 | Length: 14
Seed: 10 | Step: 521 | Episode Return: 13.80 | Length: 20
Seed: 10 | Step: 535 | Episode Return: 11.70 | Length: 14
Seed: 10 | Step: 551 | Episode Return: 14.84 | Length: 16
Seed: 10 | Step: 575 | Episode Return: 26.23 | Length: 24
Seed: 10 | Step: 596 | Episode Return: 21.57 | Length: 21
Seed: 10 | Step: 612 | Episode Return: 13.38 | Length: 16
Seed: 10 | Step: 625 | Episode Return: 10.94 | Length: 13
Seed: 10 | Step: 639 | Episode Return: 12.56 | Length: 14
Seed: 10 | Step: 680 | Episode Return: 34.12 | Length: 41
Seed: 10 | Step: 699 | Episode Return: 12.92 | Length: 19
Seed: 10 | Step: 714 | Episode Return: 10.03 | Length: 15
Seed: 10 | Step: 726 | Episode Return: 10.13 | Length: 12
Seed: 10 | Step: 745 | Episode Return: 21.85 | Length: 19
Seed: 10 | Step: 762 | Episode Return: 14.06 | Length: 17
Seed: 10 | Step: 773 | Episode Return: 9.45 | Length: 11
Seed: 10 | Step: 787 | Episode Return: 13.21 | Length: 14
Seed: 10 | Step: 813 | Episode Return: 21.02 | Length: 26
Seed: 10 | Step: 852 | Episode Return: 42.22 | Length: 39
Seed: 10 | Step: 868 | Episode Return: 8.69 | Length: 16
Seed: 10 | Step: 896 | Episode Return: 12.19 | Length: 28
Seed: 10 | Step: 909 | Episode Return: 8.08 | Length: 13
