Environment,Seed,Step,Average_Return
Hopper-v4,30,5000,8.384505206339815
Hopper-v4,10,5000,10.97270499009401
Hopper-v4,20,5000,23.579424554532952
Hopper-v4,30,10000,253.51889583913893
Hopper-v4,20,10000,265.9140653562973
Hopper-v4,10,10000,248.0452823197157
Hopper-v4,30,15000,519.5451355963884
Hopper-v4,20,15000,377.41836745206746
Hopper-v4,10,15000,357.23013644726853
Hopper-v4,30,20000,238.8408007202028
Hopper-v4,20,20000,345.47839895292634
Hopper-v4,10,20000,323.72326988627316
Hopper-v4,30,25000,417.4165253266022
Hopper-v4,20,25000,390.5868025953725
Hopper-v4,10,25000,256.5574612228294
Hopper-v4,30,30000,318.16009692531475
Hopper-v4,20,30000,668.1985876767824
Hopper-v4,10,30000,329.28046456291383
Hopper-v4,30,35000,372.5329063011122
Hopper-v4,20,35000,522.5320958674538
Hopper-v4,10,35000,489.1058288154394
Hopper-v4,30,40000,350.5360097994842
Hopper-v4,20,40000,68.85832643476975
Hopper-v4,10,40000,518.9203544285774
Hopper-v4,20,45000,440.639661082746
Hopper-v4,30,45000,1685.8765825512376
Hopper-v4,10,45000,518.5650755828211
Hopper-v4,20,50000,949.3067481270339
Hopper-v4,30,50000,512.7021839204556
Hopper-v4,10,50000,947.0789655903715
Hopper-v4,30,55000,696.502273847694
Hopper-v4,20,55000,2685.8515364356435
Hopper-v4,10,55000,390.0679246449855
Hopper-v4,30,60000,1742.236538253916
Hopper-v4,20,60000,1398.5605406929621
Hopper-v4,10,60000,491.6802566634261
Hopper-v4,30,65000,895.8598699969473
Hopper-v4,20,65000,158.7511826107976
Hopper-v4,10,65000,529.4808714742136
Hopper-v4,30,70000,828.2222121091414
Hopper-v4,20,70000,2407.5809727432734
Hopper-v4,10,70000,659.2047484004959
Hopper-v4,30,75000,956.6250162289343
Hopper-v4,10,75000,826.4690626051708
Hopper-v4,20,75000,2907.248272717504
Hopper-v4,30,80000,2599.65674510888
Hopper-v4,10,80000,588.5261085600195
Hopper-v4,20,80000,2136.477061946928
Hopper-v4,10,85000,602.9132388410936
Hopper-v4,30,85000,2806.977251802135
Hopper-v4,20,85000,1786.3381626740586
Hopper-v4,10,90000,884.7021403409269
Hopper-v4,30,90000,2308.8421668159226
Hopper-v4,20,90000,2627.6839270500905
Hopper-v4,10,95000,783.0126896171892
Hopper-v4,30,95000,3016.5629981528627
Hopper-v4,20,95000,2932.3850044469364
Hopper-v4,10,100000,895.1937496840735
Hopper-v4,30,100000,570.2115745030608
Hopper-v4,20,100000,2882.742016280096
Hopper-v4,10,105000,849.2806755657919
Hopper-v4,30,105000,218.76451441043992
Hopper-v4,20,105000,3056.2117996447687
Hopper-v4,10,110000,3040.8680520670196
Hopper-v4,30,110000,2114.859864515317
Hopper-v4,20,110000,3019.1755333823903
Hopper-v4,10,115000,253.98746242410047
Hopper-v4,30,115000,1949.7167360114938
Hopper-v4,20,115000,1174.2364516404446
Hopper-v4,10,120000,2788.897093281522
Hopper-v4,30,120000,3058.432717471163
Hopper-v4,20,120000,3096.8669347817026
Hopper-v4,10,125000,1320.3052207036276
Hopper-v4,30,125000,3013.911276886214
Hopper-v4,20,125000,3172.936503843155
Hopper-v4,10,130000,1677.2247381935395
Hopper-v4,30,130000,1020.5830702396543
Hopper-v4,20,130000,3009.901910469607
Hopper-v4,10,135000,1586.9657504506
Hopper-v4,30,135000,1425.0822831785981
Hopper-v4,20,135000,1850.2803749817588
Hopper-v4,10,140000,1451.4929239551207
Hopper-v4,30,140000,1419.5972201754494
Hopper-v4,20,140000,3204.4677932995105
Hopper-v4,30,145000,544.242826715837
Hopper-v4,10,145000,3144.3395403847267
Hopper-v4,20,145000,1951.2583201596572
Hopper-v4,30,150000,2572.458774825206
Hopper-v4,10,150000,3271.9495205638004
Hopper-v4,20,150000,3204.2930157643773
Hopper-v4,30,155000,3083.20586914833
Hopper-v4,10,155000,2547.3561009535
Hopper-v4,20,155000,3288.089514150738
Hopper-v4,10,160000,226.2227729537645
Hopper-v4,30,160000,3174.744025611858
Hopper-v4,20,160000,3112.448694456222
Hopper-v4,30,165000,2394.9863214700467
Hopper-v4,10,165000,3111.2577518655194
Hopper-v4,20,165000,3178.2178487961783
Hopper-v4,30,170000,2352.149926802533
Hopper-v4,10,170000,3143.3823870367096
Hopper-v4,20,170000,3110.3329477394295
Hopper-v4,30,175000,2378.094266144002
Hopper-v4,10,175000,3200.701830142384
Hopper-v4,20,175000,3097.38528116799
Hopper-v4,30,180000,3077.903068865936
Hopper-v4,10,180000,2940.3046845504623
Hopper-v4,20,180000,2485.8372609028033
Hopper-v4,30,185000,1568.019880835171
Hopper-v4,10,185000,859.1950255065227
Hopper-v4,20,185000,2667.1051509051235
Hopper-v4,30,190000,936.0049059095378
Hopper-v4,10,190000,2094.0361857478456
Hopper-v4,20,190000,3251.046505651161
Hopper-v4,30,195000,3195.232110367676
Hopper-v4,10,195000,3203.219980750957
Hopper-v4,20,195000,3198.2868030803565
Hopper-v4,30,200000,3051.227606026715
Hopper-v4,10,200000,3126.4159432766573
Hopper-v4,20,200000,2015.095434693514
