Environment,Seed,Step,Average_Return
Hopper-v4,30,5000,8.384505206339815
Hopper-v4,10,5000,10.97270499009401
Hopper-v4,20,5000,23.579424554532952
Hopper-v4,20,10000,195.87664259133308
Hopper-v4,30,10000,338.98348986241797
Hopper-v4,10,10000,403.14921199610006
Hopper-v4,20,15000,342.5287212940283
Hopper-v4,30,15000,646.827805126688
Hopper-v4,10,15000,632.6583537379933
Hopper-v4,20,20000,383.68392299678953
Hopper-v4,30,20000,1135.7876521079463
Hopper-v4,10,20000,825.703466734392
Hopper-v4,20,25000,978.8494954610514
Hopper-v4,30,25000,1683.2976761001428
Hopper-v4,10,25000,1442.7805469992072
Hopper-v4,20,30000,1043.8517165823607
Hopper-v4,30,30000,970.8942067385157
Hopper-v4,10,30000,1279.142524883373
Hopper-v4,20,35000,495.7764436436058
Hopper-v4,30,35000,3284.464646970562
Hopper-v4,10,35000,2176.2931054997816
Hopper-v4,20,40000,3064.3892472386606
Hopper-v4,30,40000,2038.6523271145124
Hopper-v4,10,40000,2034.4388309700357
Hopper-v4,20,45000,1271.2957449629623
Hopper-v4,30,45000,3253.006066028499
Hopper-v4,10,45000,2157.0671816697577
Hopper-v4,20,50000,3217.1544648529875
Hopper-v4,30,50000,3260.1396116535816
Hopper-v4,10,50000,3032.0502093945706
Hopper-v4,20,55000,2828.1683365767904
Hopper-v4,30,55000,3317.318579462167
Hopper-v4,10,55000,3150.5666533233984
Hopper-v4,20,60000,2565.9402163035898
Hopper-v4,30,60000,3311.786530975922
Hopper-v4,10,60000,3039.1090398121646
Hopper-v4,20,65000,3244.630500131357
Hopper-v4,30,65000,3306.3096295137557
Hopper-v4,10,65000,1797.140446436105
Hopper-v4,20,70000,3261.412422730743
Hopper-v4,30,70000,3354.383255318508
Hopper-v4,10,70000,3197.9571670670966
Hopper-v4,20,75000,3290.5506429324405
Hopper-v4,30,75000,3375.4851008258165
Hopper-v4,10,75000,3247.5769368540955
Hopper-v4,20,80000,1343.0546385856878
Hopper-v4,30,80000,3373.9309050576835
Hopper-v4,10,80000,3227.4849173491525
Hopper-v4,20,85000,3302.639384779098
Hopper-v4,30,85000,3383.3139788175517
Hopper-v4,10,85000,3319.0217541622333
Hopper-v4,20,90000,3302.197662642489
Hopper-v4,30,90000,3383.1540904344242
Hopper-v4,10,90000,3022.6278123499105
Hopper-v4,20,95000,3314.6760821817343
Hopper-v4,30,95000,1962.0440618515502
Hopper-v4,10,95000,2742.434422645977
Hopper-v4,20,100000,3329.0015033755285
Hopper-v4,30,100000,3422.205476823009
Hopper-v4,10,100000,2868.458820561728
Hopper-v4,20,105000,3164.702249534136
Hopper-v4,30,105000,3441.4575330320413
Hopper-v4,10,105000,2799.9410904131687
Hopper-v4,20,110000,3318.394545765025
Hopper-v4,30,110000,3432.1529223887496
Hopper-v4,10,110000,3343.4405348293512
Hopper-v4,20,115000,3328.601042783887
Hopper-v4,30,115000,3470.7122235033544
Hopper-v4,10,115000,3340.175554945023
Hopper-v4,20,120000,3304.827490803023
Hopper-v4,30,120000,3464.053977870813
Hopper-v4,10,120000,3356.8810200581224
Hopper-v4,20,125000,3313.752750871573
Hopper-v4,30,125000,3483.1617563444097
Hopper-v4,10,125000,3372.2986904971353
Hopper-v4,20,130000,3337.4597979223204
Hopper-v4,30,130000,3460.8484486324387
Hopper-v4,10,130000,3362.784005650791
Hopper-v4,20,135000,2720.390381166692
Hopper-v4,30,135000,3482.2464648896794
Hopper-v4,10,135000,3361.5066419182754
Hopper-v4,20,140000,2754.974886317109
Hopper-v4,30,140000,3483.461607422323
Hopper-v4,10,140000,3361.2737818228134
Hopper-v4,20,145000,3335.4805219940536
Hopper-v4,30,145000,3467.829226389181
Hopper-v4,10,145000,3111.576982507842
Hopper-v4,20,150000,3315.2205381120666
Hopper-v4,30,150000,3479.0807596247823
Hopper-v4,10,150000,1814.5581659926672
Hopper-v4,20,155000,2859.993519494262
Hopper-v4,30,155000,3492.2036491846093
Hopper-v4,10,155000,1682.2056895250146
Hopper-v4,20,160000,3297.466798974877
Hopper-v4,30,160000,615.8117575068384
Hopper-v4,10,160000,2299.9789827346763
Hopper-v4,20,165000,3142.9308349188423
Hopper-v4,30,165000,3493.8843500008743
Hopper-v4,10,165000,3443.008344266742
Hopper-v4,20,170000,2946.9641102209616
Hopper-v4,30,170000,3488.932561064772
Hopper-v4,10,170000,2878.6805123424506
Hopper-v4,20,175000,3327.6581531127363
Hopper-v4,30,175000,3492.299733392446
Hopper-v4,10,175000,3473.987957449333
Hopper-v4,20,180000,3337.5033360041853
Hopper-v4,30,180000,3484.6157933090262
Hopper-v4,10,180000,3486.0395940790922
Hopper-v4,20,185000,1586.2688613967225
Hopper-v4,30,185000,3495.0665409991334
Hopper-v4,10,185000,2627.2223230766517
Hopper-v4,20,190000,3358.1753297769455
Hopper-v4,30,190000,3485.351813819742
Hopper-v4,10,190000,2844.4798170686017
Hopper-v4,20,195000,3284.829436730962
Hopper-v4,30,195000,3486.211980209104
Hopper-v4,10,195000,2163.522054999059
Hopper-v4,20,200000,3045.8557266465473
Hopper-v4,30,200000,3483.0282363037404
Hopper-v4,10,200000,3612.270786813738
Hopper-v4,20,205000,3175.1199488386715
Hopper-v4,30,205000,3494.5101053430385
