Environment,Seed,Step,Average_Return
Walker2d-v4,20,5000,5.334398926891375
Walker2d-v4,30,5000,7.4408463250423384
Walker2d-v4,10,5000,49.63655962888186
Walker2d-v4,30,10000,331.8190169217955
Walker2d-v4,10,10000,414.88505304367453
Walker2d-v4,20,10000,181.76510256062238
Walker2d-v4,30,15000,296.9098798964206
Walker2d-v4,20,15000,432.5687407809206
Walker2d-v4,10,15000,538.7814225423085
Walker2d-v4,30,20000,178.1725692105007
Walker2d-v4,20,20000,102.51123204666132
Walker2d-v4,10,20000,376.0286746656937
Walker2d-v4,30,25000,306.136480878601
Walker2d-v4,10,25000,361.9094091101171
Walker2d-v4,20,25000,571.0187069790227
Walker2d-v4,30,30000,188.07730044124088
Walker2d-v4,10,30000,437.0212444783798
Walker2d-v4,20,30000,160.7177857581032
Walker2d-v4,30,35000,316.6251474152526
Walker2d-v4,10,35000,425.08939525831295
Walker2d-v4,20,35000,397.2240680946425
Walker2d-v4,30,40000,332.7243076819996
Walker2d-v4,10,40000,626.9278619592417
Walker2d-v4,20,40000,406.08814759500484
Walker2d-v4,30,45000,289.9586944733601
Walker2d-v4,10,45000,637.7940117121067
Walker2d-v4,20,45000,262.6897840594006
Walker2d-v4,30,50000,359.66269274366215
Walker2d-v4,10,50000,642.5841311155189
Walker2d-v4,20,50000,594.1128347668416
Walker2d-v4,30,55000,623.6061031946158
Walker2d-v4,10,55000,485.67702904973896
Walker2d-v4,20,55000,388.8472049357236
Walker2d-v4,30,60000,339.1267196208137
Walker2d-v4,10,60000,413.3618579697377
Walker2d-v4,20,60000,449.2269269470492
Walker2d-v4,30,65000,339.75183411782706
Walker2d-v4,10,65000,585.2202641461558
Walker2d-v4,20,65000,559.7766555001169
Walker2d-v4,30,70000,378.1160796641465
Walker2d-v4,10,70000,489.41064590734703
Walker2d-v4,20,70000,572.4799452218506
Walker2d-v4,30,75000,432.32439266438666
Walker2d-v4,10,75000,533.1117924323996
Walker2d-v4,20,75000,676.9425141748359
Walker2d-v4,30,80000,523.2665720661714
Walker2d-v4,10,80000,779.1623683787715
Walker2d-v4,20,80000,351.8414561730248
Walker2d-v4,30,85000,703.9255404600874
Walker2d-v4,10,85000,685.7035165931146
Walker2d-v4,20,85000,665.5825232194703
Walker2d-v4,30,90000,607.8918936524649
Walker2d-v4,10,90000,567.9877637111624
Walker2d-v4,20,90000,1059.6585414288393
Walker2d-v4,30,95000,539.4462123632369
Walker2d-v4,10,95000,598.9786134430573
Walker2d-v4,20,95000,1160.6844464831734
Walker2d-v4,30,100000,649.6840417974082
Walker2d-v4,10,100000,555.9811697810719
Walker2d-v4,20,100000,483.55660524510006
Walker2d-v4,30,105000,806.0185037181175
Walker2d-v4,10,105000,832.1880034491367
Walker2d-v4,20,105000,878.2973559519584
Walker2d-v4,30,110000,886.3285670009961
Walker2d-v4,10,110000,628.3577617491492
Walker2d-v4,20,110000,982.2807571642858
Walker2d-v4,30,115000,715.1512963888647
Walker2d-v4,10,115000,709.75790586982
Walker2d-v4,20,115000,819.0854110065804
Walker2d-v4,30,120000,735.6247217171975
Walker2d-v4,10,120000,593.9123623627518
Walker2d-v4,20,120000,743.0705832655304
Walker2d-v4,30,125000,816.2495522170127
Walker2d-v4,10,125000,759.1311190043623
Walker2d-v4,20,125000,767.288651059833
Walker2d-v4,10,130000,1047.5440029182942
Walker2d-v4,30,130000,1598.0395330539009
Walker2d-v4,20,130000,1271.5241168877799
Walker2d-v4,10,135000,1040.7520201552202
Walker2d-v4,30,135000,871.3092239544025
Walker2d-v4,20,135000,1770.2142525681134
Walker2d-v4,10,140000,1178.7363161742546
Walker2d-v4,30,140000,1476.0398281985144
Walker2d-v4,20,140000,681.1885799766591
Walker2d-v4,10,145000,1106.446981019457
Walker2d-v4,30,145000,2574.7548691705715
Walker2d-v4,20,145000,350.5503848799645
Walker2d-v4,10,150000,865.9948666732489
Walker2d-v4,30,150000,2658.963014818236
Walker2d-v4,20,150000,1882.6582630653927
Walker2d-v4,10,155000,1462.6725320148744
Walker2d-v4,30,155000,1536.1667712996673
Walker2d-v4,20,155000,1264.3884207319436
Walker2d-v4,10,160000,1254.085932259809
Walker2d-v4,30,160000,1323.8839409929928
Walker2d-v4,20,160000,1466.332802005642
Walker2d-v4,10,165000,831.6481080294416
Walker2d-v4,30,165000,3796.41492067948
Walker2d-v4,20,165000,1140.2356538501451
Walker2d-v4,10,170000,771.4983428653524
Walker2d-v4,20,170000,1397.8817977576018
Walker2d-v4,30,170000,3234.2769587004486
Walker2d-v4,10,175000,1135.582553066664
Walker2d-v4,20,175000,1817.8606713347654
Walker2d-v4,30,175000,3975.598714510312
Walker2d-v4,10,180000,355.93984654616634
Walker2d-v4,20,180000,1327.6880107102525
Walker2d-v4,30,180000,1575.9414422074813
Walker2d-v4,10,185000,713.9639061110321
Walker2d-v4,20,185000,690.9282252832008
Walker2d-v4,30,185000,3342.545201507493
Walker2d-v4,10,190000,1296.4475689886383
Walker2d-v4,20,190000,1636.294197330802
Walker2d-v4,30,190000,3433.165805191701
Walker2d-v4,10,195000,1402.9886876947282
Walker2d-v4,20,195000,1461.2879639165872
Walker2d-v4,30,195000,3042.234056523813
Walker2d-v4,10,200000,1474.5596854140836
Walker2d-v4,20,200000,1803.4033129829652
Walker2d-v4,30,200000,3317.278733683607
