Environment,Seed,Step,Average_Return
Walker2d-v4,20,5000,5.334398926891375
Walker2d-v4,30,5000,7.4408463250423384
Walker2d-v4,10,5000,49.63655962888186
Walker2d-v4,10,10000,361.69417905880834
Walker2d-v4,20,10000,201.63862743536615
Walker2d-v4,30,10000,196.7162371378048
Walker2d-v4,10,15000,84.38702355722252
Walker2d-v4,20,15000,191.4143719834255
Walker2d-v4,30,15000,139.57771179240018
Walker2d-v4,20,20000,155.4060837558865
Walker2d-v4,10,20000,361.1430960114881
Walker2d-v4,30,20000,160.651868789496
Walker2d-v4,20,25000,213.67058420072186
Walker2d-v4,10,25000,59.11125808482435
Walker2d-v4,30,25000,226.53985155595905
Walker2d-v4,20,30000,101.099185908181
Walker2d-v4,10,30000,681.7069734035285
Walker2d-v4,30,30000,191.57167897108965
Walker2d-v4,20,35000,183.3264846031278
Walker2d-v4,10,35000,261.1728722685168
Walker2d-v4,30,35000,287.53351701451106
Walker2d-v4,20,40000,299.88637633430864
Walker2d-v4,10,40000,562.6809776346807
Walker2d-v4,30,40000,211.23619136092134
Walker2d-v4,20,45000,197.47621891170775
Walker2d-v4,10,45000,1202.2896044741096
Walker2d-v4,30,45000,212.24653011978404
Walker2d-v4,20,50000,241.99455211572953
Walker2d-v4,10,50000,736.6005953381202
Walker2d-v4,30,50000,405.9833733954977
Walker2d-v4,20,55000,631.678394642917
Walker2d-v4,10,55000,1139.8174990643213
Walker2d-v4,30,55000,252.413190634378
Walker2d-v4,20,60000,792.1314616999887
Walker2d-v4,10,60000,1917.737544576831
Walker2d-v4,30,60000,192.7004590988088
Walker2d-v4,20,65000,1097.1822004031005
Walker2d-v4,10,65000,421.7111132778538
Walker2d-v4,30,65000,206.7029899536934
Walker2d-v4,20,70000,2128.1104191667832
Walker2d-v4,10,70000,3542.450537011846
Walker2d-v4,30,70000,254.06278717403853
Walker2d-v4,20,75000,897.2451713601974
Walker2d-v4,10,75000,2436.679990760372
Walker2d-v4,30,75000,348.4578658345952
Walker2d-v4,20,80000,2191.2879808769076
Walker2d-v4,10,80000,1216.586931096183
Walker2d-v4,30,80000,286.77152672051716
Walker2d-v4,20,85000,2369.657653928536
Walker2d-v4,10,85000,4767.792099306102
Walker2d-v4,30,85000,313.1526470966566
Walker2d-v4,20,90000,2328.7619098698233
Walker2d-v4,10,90000,3843.4499976651896
Walker2d-v4,30,90000,427.00437970538917
Walker2d-v4,20,95000,2351.6301852848783
Walker2d-v4,10,95000,4162.132822193018
Walker2d-v4,30,95000,500.7641342157247
Walker2d-v4,20,100000,1506.104857583738
Walker2d-v4,10,100000,3871.3348455257137
Walker2d-v4,30,100000,488.64510000768894
Walker2d-v4,20,105000,2153.536937627311
Walker2d-v4,10,105000,4038.921360915969
Walker2d-v4,30,105000,1609.976547963142
Walker2d-v4,20,110000,2794.5898940474935
Walker2d-v4,10,110000,1671.2842064833526
Walker2d-v4,30,110000,3374.1218727592395
Walker2d-v4,20,115000,2776.2850161137835
Walker2d-v4,10,115000,4917.912858643763
Walker2d-v4,30,115000,3960.7793629831913
Walker2d-v4,20,120000,3129.2125049447104
Walker2d-v4,10,120000,1283.795358129162
Walker2d-v4,30,120000,3152.7142853819587
Walker2d-v4,20,125000,2287.5501017623383
Walker2d-v4,10,125000,1978.2415361918806
Walker2d-v4,30,125000,4731.170640719788
Walker2d-v4,20,130000,3008.310258915176
Walker2d-v4,10,130000,5143.316010544504
Walker2d-v4,30,130000,4877.066138557225
Walker2d-v4,20,135000,895.1846457412781
Walker2d-v4,10,135000,4493.358590088208
Walker2d-v4,30,135000,4681.078577486387
Walker2d-v4,20,140000,3490.57944826225
Walker2d-v4,10,140000,2288.3555910218492
Walker2d-v4,30,140000,2509.2425535489056
Walker2d-v4,20,145000,994.0945402137384
Walker2d-v4,10,145000,4305.297421042909
Walker2d-v4,30,145000,5090.3082661252465
Walker2d-v4,20,150000,3025.706087357726
Walker2d-v4,10,150000,244.1255758530987
Walker2d-v4,30,150000,3884.6887778401506
Walker2d-v4,20,155000,4069.933301499038
Walker2d-v4,10,155000,3584.3301264952433
Walker2d-v4,30,155000,4180.223039060346
Walker2d-v4,20,160000,2538.796820199615
Walker2d-v4,10,160000,4419.868000859829
Walker2d-v4,30,160000,4927.512783656577
Walker2d-v4,20,165000,3867.8808070430437
Walker2d-v4,10,165000,1330.5153516378168
Walker2d-v4,30,165000,4772.753631514847
Walker2d-v4,20,170000,2949.898558192854
Walker2d-v4,10,170000,5475.557073495796
Walker2d-v4,30,170000,5518.157037957235
Walker2d-v4,20,175000,3552.4214214221975
Walker2d-v4,10,175000,2076.23563304336
Walker2d-v4,30,175000,5232.698573081327
Walker2d-v4,20,180000,3365.38941061422
Walker2d-v4,10,180000,5574.405265588885
Walker2d-v4,30,180000,5586.20870272935
Walker2d-v4,20,185000,3724.4378540293633
Walker2d-v4,10,185000,5742.199300119236
Walker2d-v4,30,185000,5403.431465825627
Walker2d-v4,20,190000,3548.226205012106
Walker2d-v4,10,190000,5709.363689082623
Walker2d-v4,30,190000,5542.123231154944
Walker2d-v4,20,195000,4172.988394823601
Walker2d-v4,10,195000,5548.948153118732
Walker2d-v4,30,195000,5468.538125263605
Walker2d-v4,20,200000,1082.9870745023877
Walker2d-v4,10,200000,4527.303048546321
Walker2d-v4,30,200000,5505.9168484545635
