--> Starting Seed 20 on a separate CPU core...
Seed: 20 | Step: 17 | Episode Return: 18.42 | Length: 18
Seed: 20 | Step: 27 | Episode Return: 7.97 | Length: 10
Seed: 20 | Step: 42 | Episode Return: 13.16 | Length: 15
Seed: 20 | Step: 52 | Episode Return: 6.37 | Length: 10
Seed: 20 | Step: 77 | Episode Return: 10.01 | Length: 25
Seed: 20 | Step: 110 | Episode Return: 41.75 | Length: 33
Seed: 20 | Step: 128 | Episode Return: 18.66 | Length: 18
Seed: 20 | Step: 147 | Episode Return: 19.28 | Length: 19
Seed: 20 | Step: 195 | Episode Return: 52.02 | Length: 48
Seed: 20 | Step: 217 | Episode Return: 22.85 | Length: 22
Seed: 20 | Step: 247 | Episode Return: 12.63 | Length: 30
Seed: 20 | Step: 265 | Episode Return: 11.28 | Length: 18
Seed: 20 | Step: 296 | Episode Return: 15.98 | Length: 31
Seed: 20 | Step: 311 | Episode Return: 11.67 | Length: 15
Seed: 20 | Step: 339 | Episode Return: 21.87 | Length: 28
Seed: 20 | Step: 359 | Episode Return: 11.93 | Length: 20
Seed: 20 | Step: 376 | Episode Return: 12.23 | Length: 17
Seed: 20 | Step: 395 | Episode Return: 11.80 | Length: 19
Seed: 20 | Step: 418 | Episode Return: 18.68 | Length: 23
Seed: 20 | Step: 448 | Episode Return: 22.55 | Length: 30
Seed: 20 | Step: 470 | Episode Return: 14.01 | Length: 22
Seed: 20 | Step: 503 | Episode Return: 17.20 | Length: 33
Seed: 20 | Step: 549 | Episode Return: 80.17 | Length: 46
Seed: 20 | Step: 563 | Episode Return: 8.37 | Length: 14
Seed: 20 | Step: 581 | Episode Return: 18.03 | Length: 18
Seed: 20 | Step: 608 | Episode Return: 10.06 | Length: 27
Seed: 20 | Step: 640 | Episode Return: 11.56 | Length: 32
Seed: 20 | Step: 680 | Episode Return: 35.03 | Length: 40
Seed: 20 | Step: 694 | Episode Return: 10.64 | Length: 14
Seed: 20 | Step: 707 | Episode Return: 9.52 | Length: 13
Seed: 20 | Step: 727 | Episode Return: 14.46 | Length: 20
Seed: 20 | Step: 742 | Episode Return: 9.90 | Length: 15
Seed: 20 | Step: 758 | Episode Return: 14.12 | Length: 16
Seed: 20 | Step: 774 | Episode Return: 8.05 | Length: 16
Seed: 20 | Step: 821 | Episode Return: 61.73 | Length: 47
